title,n_views,pricing,amenities,number,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Beefbar,11 reviews,€€€ ,Takes ReservationsClassyDressyFull Bar,01 44 31 40 00,5 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day)Closed now,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 11:00 PM
Le Comptoir Colonial,2 reviews,Unclaimed ,No ReservationsNo DeliveryAccepts Credit CardsQuiet,01 42 58 44 84,22 Rue Lepic 75018 Paris France,,,,,,,
Le Comptoir Colonial,2 reviews,€€ ,No ReservationsNo DeliveryAccepts Credit CardsQuiet,01 42 58 44 84,22 Rue Lepic 75018 Paris France,,,,,,,
Le Jules Verne,19 reviews,Unclaimed ,No DeliveryMany Vegetarian OptionsRomantic,01 45 55 61 44,Avenue Gustave Eiffel Deuxième étage 75007 Paris France,Mon12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PMClosed now,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM
Sanukiya,350 reviews,€€ ,Offers TakeoutNo ReservationsNo DeliveryVegan Options,01 42 60 52 61,9 rue d'Argenteuil 75001 Paris France,Mon11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PMClosed now,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM
Alain Ducasse au Plaza Athénée,96 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutPescatarian Options,01 53 67 65 00,25 avenue Montaigne 75008 Paris France,Mon7:30 PM - 10:15 PM,7:30 PM - 10:15 PM,7:30 PM - 10:15 PM,12:30 PM - 2:15 PM7:30 PM - 10:15 PM,12:30 PM - 2:15 PM7:30 PM - 10:15 PMClosed now,Closed,Closed
Café Louise,59 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 60 22 44,8 rue Croix des Petits Champs 75001 Paris France,Mon9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AMClosed now,5:00 PM - 10:30 PM,Closed
Le Potager du Père Thierry,427 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutVegan Options,01 53 28 26 20,16 rue des Trois Frères 75018 Paris France,Mon7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 12:00 AM (Next day)Closed now,7:00 PM - 12:00 AM (Next day),7:00 PM - 11:00 PM
Chez Janou,532 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 72 28 41,2 rue Roger Verlomme 75003 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:00 PM7:00 PM - 12:00 AM (Next day)Closed now,7:00 AM - 12:00 AM (Next day),7:00 AM - 4:00 PM
La Droguerie du Marais,214 reviews,Unclaimed ,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,Get Directions,56 rue des Rosiers 75004 Paris France,,,,,,,
